fname,highway,countryside,city
data\sim0z2ipc7yyc2m3qitovu\284454916706983.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\320714949582848.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\385928379378876.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\755960195089792.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\484548152759714.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\826022318029277.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\170240688281698.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\377528857008689.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\218621409842245.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\143605544483676.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1196226074149323.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1479288219092786.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2945871432336984.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\520369162481546.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\494864345158927.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\323874292457867.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\313229510329938.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\516884742687606.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\183848290303397.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\922667945237738.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1405186193195731.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\326838025687196.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\222048379443462.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1452478085090951.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\218694053166569.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\520983582417699.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\477469729982316.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\849729772289413.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1339769676409801.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\224448192516648.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\516612036160260.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\778589049688777.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\213155630620388.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\846995262905315.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\173029291496789.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\308441367586746.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\303372038001912.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\172077014856869.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\541708626836142.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\542776737106002.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\519861199196607.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\376098897163741.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4391743890837711.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1799860673515499.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\486078199168727.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\5658371054237393.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\321935742713284.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\475070913719256.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1362876417463355.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\934708083994888.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\497955368215580.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\494368728474695.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\224934579107193.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1381992202181569.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3753441514778749.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2902980563351082.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\225113846089214.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\225113846089214.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1147867429045538.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3541728725928712.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\231332988794335.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1614313032097184.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\384205792932847.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\309352653995798.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1461610204178772.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\949089792556289.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1365068223868168.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1433191957073689.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\762016851135604.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\497227664729296.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\464648988167626.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\313864556867026.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\288737019623602.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\375407477237541.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\497611571361504.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\335745004852429.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\154355846706851.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\481144576330946.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\188732936351378.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\148566887288007.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\183140493718459.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\836973117170917.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\519733085848762.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\227567555463443.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\526954321812105.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1437812326566460.jpg, 0, 0, 1
data\sim0z2ipc7yyc2m3qitovu\374896927298783.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3164997573738075.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2999154436979868.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1203793770041284.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\295208715509814.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\876252143237963.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\223338589305841.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1215422555558597.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\464730727953046.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1215945508841817.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\244065150848776.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2622946957829272.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\223381462624782.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4136064556479752.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\866796173909139.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1509890236008668.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\794077437962350.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1838996266268850.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\805881726998492.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\148445720600078.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3321503038076480.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\936985897095307.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\502076344542838.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1437020079969915.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3232164647010748.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\311006113822324.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3002128573342642.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\381444049911038.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1985118651646088.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\776670663012863.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\631970407768822.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4032248610155470.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\170929888296876.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\305043927772652.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\314406626992394.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\815840039370065.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2084369778371342.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\499623674802760.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\297083325233176.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\143111741095585.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\109882704529162.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\856183545109267.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\496607828319854.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\466119584472724.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\474696213628718.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2869296476720555.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\313287593640050.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\829927967900708.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\774565136761953.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\841295849855888.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\4231465900306842.jpg, 0, 0, 1
